artist	other_artist	similarity
AR6XPWV1187B9ADAEB	ARSW5F51187FB4CFC9	15
AR06EB01187FB40150	ARUSOMY1187FB4D3B4	13
AR1SQSG1187B9AC782	ARH6W4X1187B99274F	15
ARBFDJW1187B9AD27A	ART3O5Z1187B9AB043	18
ARL3VGT1187FB40E8E	ARU3YYC1187FB43FEE	15
ARD3LXU1187B9ABFC5	ARLR9U31187B9A71AD	17
AR7BMMV1187FB5B2D7	ARJ9DSA1187B990E00	16
ARE08BN1187B98FCA3	ARGR98V1187FB3A1B9	13
AROIHOI122988FEB8E	ARWLUAI11F4C840637	13
AR0KBXO1187B996460	AR65OLD1187FB5C103	13
AR02IU11187FB513F2	AR1N6N61187FB4E25E	14
ARXPPEY1187FB51DF4	ARZQ7QA1187B9AD08B	14
ARTK5LU1187B9A654C	ARWGIOC1187FB4CBEF	13
ARL3VGT1187FB40E8E	ART6QCS1187FB40CBD	17
ARODBRG1187FB3FD99	ARWA6NT1187FB3F15C	15
AR03BDP1187FB5B324	ARVBRGZ1187FB4675A	13
ARD8JVH1187FB4DA04	ARUKN9H1187B9B71C8	14
AR4B3RX1187B9A868A	ARBM57Q1187B9AF97C	13
AROIHOI122988FEB8E	ARQP63M1187B98D994	13
AR9YV621187B99373E	ARSL3N21187B98DFC5	13
AR6C8EJ1187FB3F473	ARYN8YT1187FB38396	13
ARGMTBG1187B9902AE	AROIHOI122988FEB8E	13
ARTBFV61187FB3C250	ARZVTZN1187FB579D4	13
ARECASR11EBCD79B06	AROIHOI122988FEB8E	13
ARUSOMY1187FB4D3B4	ARZWK2R1187B98F09F	15
ARCGJ6U1187FB4D01F	ARTH9041187FB43E1F	13
AR1X2H01187B98CCF2	ARJIE2Y1187B994AB7	17
ARBCUNV1187B98A9FB	ARXWAQQ1187B9AE954	14
ARD3LXU1187B9ABFC5	ARONPP01187B995FB5	14
ARDLTNJ1272BA7EAD6	AROIHOI122988FEB8E	13
ARSQDUN1187B98D7D7	ARXWAQQ1187B9AE954	16
AROIHOI122988FEB8E	ARQ0EYR1187B9B69B6	13
ARE2QID1187B98FA19	ARN7OQ21187FB5A6B3	13
ARBEOHF1187B9B044D	ARMRCET1187FB52049	13
ARKQ9JM1187FB57521	ARSQDUN1187B98D7D7	13
AR243ZT1187B9A98D2	ARFZNR41187B990AF7	13
ARLLRL61187B9B6698	ARLR9U31187B9A71AD	13
AR13CXU1187B9AD30A	ARLR9U31187B9A71AD	13
ARB2M051187FB56FA9	ARX9YIP1187B98A656	15
ARKFKQ11187FB51BE6	AROIHOI122988FEB8E	13
ARD2F1Z1187FB3D27E	ARIRD6J1187FB5A98C	13
ART5IUL1187B9B0143	ARVUN5F1187FB4CCC7	14
AR12F2S1187FB56EEF	ARASYMJ1187B9ACAF2	16
AROIHOI122988FEB8E	ARVMIQT1187B9B15D8	13
AR4EQ231187B99368F	ARVN9FZ1187FB393F1	16
ARJ7KF01187B98D717	ARVN9FZ1187FB393F1	18
ARBEOHF1187B9B044D	ARKSZW81187B9B695D	17
AR9W3X91187FB3994C	ARYNX5Z1187B999686	14
AR78ZID1187B9B31ED	ARCYQ1P1187FB3F3CA	15
AROLNOH1187FB39845	ARXWAQQ1187B9AE954	13
AR46CAD1187FB4D84B	ARIMZQZ1187B9AD541	14
ART3O5Z1187B9AB043	ART70HI1187B9A37BC	13
AROIHOI122988FEB8E	ARRD2501187B9A9FFE	13
AR804881187FB3E0E6	AROIHOI122988FEB8E	13
AROIHOI122988FEB8E	ARYZBXZ11F50C50611	13
AR4L4WQ1187FB51996	ARD3LXU1187B9ABFC5	14
ARWK5QH1187B9A9B7F	ARXPPEY1187FB51DF4	13
ARBCUNV1187B98A9FB	ARX9YIP1187B98A656	19
ARBCUNV1187B98A9FB	ARTH9041187FB43E1F	15
AR3RNXB1187B98F0B4	AROIHOI122988FEB8E	13
AR9JNFU1187B9B9868	ARQCHDN1187FB4C7C2	13
ARH6W4X1187B99274F	ARR6LWJ1187FB44C8B	15
AR6892W1187B9AC71B	ARVG4OK1187B9B6BD3	14
ARGBGC71187FB3DD0B	ARTKOGW1241B9CD42B	13
ARUTEVU1187B9ACAF9	ARVN9FZ1187FB393F1	14
ARKC83D1187B9AB367	ARR575U1187B98FB97	13
ARBHBE91187B9A1F58	ART3O5Z1187B9AB043	13
ARDLLAI1272BA876C4	AROIHOI122988FEB8E	13
ARLR9U31187B9A71AD	ARQOATR1187B9AE959	15
AREPOUG11F4C83D36C	ARGBGC71187FB3DD0B	13
